Flow	Tin	Tout	Tsat	Tsurf
0.2	34.3	34.6	70.4	34.946
0.3	34.6	34.9	70.8	35.249
0.4	34.7	34.9	71.6	35.249
0.5	34.6	34.8	70.8	35.148
