Flow	Tin	Tout	Tsat	Tsurf
0.6	34.7	34.9	71.4	35.249
0.1	31.5	44.1	67.3	54
0.2	31.3	36.6	68.8	39.3
0.3	31.3	40.7	71.8	62.1
